in s,CH1 in V,CH2 in V
-6.000E-07,-2.000E-02,2.000E-02
-5.800E-07,-2.000E-02,2.000E-02
-5.600E-07,-2.000E-02,2.000E-02
-5.400E-07,-2.000E-02,2.000E-02
-5.200E-07,6.000E-02,2.000E-02
-5.000E-07,1.400E-01,6.000E-02
-4.800E-07,2.200E-01,6.000E-02
-4.600E-07,2.600E-01,6.000E-02
-4.400E-07,3.400E-01,2.000E-02
-4.200E-07,3.800E-01,6.000E-02
-4.000E-07,4.200E-01,6.000E-02
-3.800E-07,4.600E-01,6.000E-02
-3.600E-07,5.400E-01,6.000E-02
-3.400E-07,5.800E-01,6.000E-02
-3.200E-07,6.200E-01,6.000E-02
-3.000E-07,6.600E-01,6.000E-02
-2.800E-07,7.400E-01,6.000E-02
-2.600E-07,7.800E-01,6.000E-02
-2.400E-07,8.200E-01,6.000E-02
-2.200E-07,8.600E-01,6.000E-02
-2.000E-07,9.000E-01,6.000E-02
-1.800E-07,9.400E-01,6.000E-02
-1.600E-07,9.800E-01,6.000E-02
-1.400E-07,9.800E-01,6.000E-02
-1.200E-07,1.020E+00,2.000E-02
-1.000E-07,1.060E+00,6.000E-02
-8.000E-08,1.100E+00,6.000E-02
-6.000E-08,1.140E+00,6.000E-02
-4.000E-08,1.180E+00,6.000E-02
-2.000E-08,1.180E+00,6.000E-02
-3.672E-20,1.220E+00,2.000E-02
2.000E-08,1.260E+00,6.000E-02
4.000E-08,1.300E+00,2.000E-02
6.000E-08,1.300E+00,6.000E-02
8.000E-08,1.340E+00,2.000E-02
1.000E-07,1.340E+00,6.000E-02
1.200E-07,1.380E+00,6.000E-02
1.400E-07,1.420E+00,6.000E-02
1.600E-07,1.420E+00,6.000E-02
1.800E-07,1.460E+00,6.000E-02
2.000E-07,1.460E+00,6.000E-02
2.200E-07,1.500E+00,6.000E-02
2.400E-07,1.500E+00,6.000E-02
2.600E-07,1.540E+00,6.000E-02
2.800E-07,1.580E+00,6.000E-02
3.000E-07,1.540E+00,2.000E-02
3.200E-07,1.580E+00,2.000E-02
3.400E-07,1.620E+00,6.000E-02
3.600E-07,1.620E+00,6.000E-02
3.800E-07,1.660E+00,6.000E-02
4.000E-07,1.660E+00,2.000E-02
4.200E-07,1.660E+00,6.000E-02
4.400E-07,1.700E+00,6.000E-02
4.600E-07,1.700E+00,6.000E-02
4.800E-07,1.700E+00,6.000E-02
5.000E-07,1.740E+00,6.000E-02
5.200E-07,1.740E+00,2.000E-02
5.400E-07,1.780E+00,6.000E-02
5.600E-07,1.780E+00,6.000E-02
5.800E-07,1.780E+00,6.000E-02
6.000E-07,1.780E+00,6.000E-02
6.200E-07,1.780E+00,6.000E-02
6.400E-07,1.820E+00,6.000E-02
6.600E-07,1.820E+00,6.000E-02
6.800E-07,1.820E+00,6.000E-02
7.000E-07,1.820E+00,6.000E-02
7.200E-07,1.860E+00,6.000E-02
7.400E-07,1.860E+00,6.000E-02
7.600E-07,1.860E+00,2.000E-02
7.800E-07,1.860E+00,2.000E-02
8.000E-07,1.860E+00,6.000E-02
8.200E-07,1.900E+00,6.000E-02
8.400E-07,1.900E+00,6.000E-02
8.600E-07,1.900E+00,6.000E-02
8.800E-07,1.940E+00,6.000E-02
9.000E-07,1.940E+00,2.000E-02
9.200E-07,1.940E+00,6.000E-02
9.400E-07,1.940E+00,6.000E-02
9.600E-07,1.940E+00,6.000E-02
9.800E-07,1.940E+00,6.000E-02
1.000E-06,1.980E+00,2.000E-02
1.020E-06,1.980E+00,2.000E-02
1.040E-06,1.980E+00,6.000E-02
1.060E-06,1.980E+00,6.000E-02
