in s,D7,D6,D5,D4,D3,D2,D1,D0
7.600E-06,0,0,0,0,0,0,0,0
7.640E-06,0,0,0,0,0,0,0,0
7.680E-06,0,0,0,0,0,0,0,0
7.720E-06,0,0,0,0,0,0,0,0
7.760E-06,0,0,0,0,0,0,0,0
7.800E-06,0,0,0,0,0,0,0,0
7.840E-06,0,0,0,0,0,0,0,0
7.880E-06,0,0,0,0,0,0,0,0
7.920E-06,0,0,0,0,0,0,0,0
7.960E-06,0,0,0,0,0,0,0,0
8.000E-06,0,0,0,0,0,0,0,0
8.040E-06,0,0,0,0,0,0,0,0
8.080E-06,0,0,0,0,0,0,0,0
8.120E-06,0,0,0,0,0,0,0,0
8.160E-06,0,0,0,0,0,0,0,1
8.200E-06,0,0,0,0,0,0,0,1
8.240E-06,0,0,0,0,0,0,0,1
8.280E-06,0,0,0,0,0,0,0,1
8.320E-06,0,0,0,0,0,0,0,1
8.360E-06,0,0,0,0,0,0,0,1
8.400E-06,0,0,0,0,0,0,0,1
8.440E-06,0,0,0,0,0,0,0,1
8.480E-06,0,0,0,0,0,0,0,1
8.520E-06,0,0,0,0,0,0,0,1
8.560E-06,0,0,0,0,0,0,0,1
8.600E-06,0,0,0,0,0,0,0,1
8.640E-06,0,0,0,0,0,0,0,1
8.680E-06,0,0,0,0,0,0,0,1
8.720E-06,0,0,0,0,0,0,0,1
8.760E-06,0,0,0,0,0,0,0,1
8.800E-06,0,0,0,0,0,0,0,1
8.840E-06,0,0,0,0,0,0,0,1
8.880E-06,0,0,0,0,0,0,0,1
8.920E-06,0,0,0,0,0,0,0,1
8.960E-06,0,0,0,0,0,0,0,1
9.000E-06,0,0,0,0,0,0,0,1
9.040E-06,0,0,0,0,0,0,0,1
9.080E-06,0,0,0,0,0,0,0,1
9.120E-06,0,0,0,0,0,0,0,1
9.160E-06,0,0,0,0,0,0,0,1
9.200E-06,0,0,0,0,0,0,0,1
9.240E-06,0,0,0,0,0,0,0,1
9.280E-06,0,0,0,0,0,0,0,1
9.320E-06,0,0,0,0,0,0,0,1
9.360E-06,0,0,0,0,0,0,0,1
9.400E-06,0,0,0,0,0,0,0,1
9.440E-06,0,0,0,0,0,0,0,1
9.480E-06,0,0,0,0,0,0,0,1
9.520E-06,0,0,0,0,0,0,0,0
9.560E-06,0,0,0,0,0,0,0,0
9.600E-06,0,0,0,0,0,0,0,0
9.640E-06,0,0,0,0,0,0,0,0
9.680E-06,0,0,0,0,0,0,0,0
9.720E-06,0,0,0,0,0,0,0,0
9.760E-06,0,0,0,0,0,0,0,0
9.800E-06,0,0,0,0,0,0,0,0
9.840E-06,0,0,0,0,0,0,0,0
9.880E-06,0,0,0,0,0,0,0,0
9.920E-06,0,0,0,0,0,0,0,0
9.960E-06,0,0,0,0,0,0,1,0
1.000E-05,0,0,0,0,0,0,0,0
1.004E-05,0,0,0,0,0,0,1,0
1.008E-05,0,0,0,0,1,0,0,0
1.012E-05,0,0,0,0,1,0,1,0
1.016E-05,0,0,0,0,1,0,0,0
1.020E-05,0,0,0,0,1,0,1,0
1.024E-05,0,0,0,0,1,0,0,0
1.028E-05,0,0,0,0,1,0,0,0
1.032E-05,0,0,0,0,1,0,1,0
1.036E-05,0,0,0,0,0,0,0,0
1.040E-05,0,0,0,0,0,0,1,0
1.044E-05,0,0,0,0,1,0,0,0
1.048E-05,0,0,0,0,1,0,1,0
1.052E-05,0,0,0,0,0,0,0,0
1.056E-05,0,0,0,0,0,0,1,0
1.060E-05,0,0,0,0,1,0,0,0
1.064E-05,0,0,0,0,1,0,0,0
1.068E-05,0,0,0,0,1,0,0,0
